"vess","yr","month","tech_1","tech_2","tech_3","lat","lon","catch"
"ID_4",2004,8,1,1,0,276,327,27.5031039660591
"ID_11",1998,7,1,1,0,325,238,0.558610062031238
"ID_4",1988,3,1,0,0,223,195,51.2728176232662
"ID_16",2002,12,1,1,1,89,491,9.30908169408747
"ID_6",1993,10,1,1,0,390,375,0.000658452466767219
"ID_18",1991,8,1,0,0,79,69,24.3221651443545
"ID_16",1992,3,1,1,1,312,146,51.3845924547002
"ID_12",1989,4,1,0,0,133,184,4.60751732704707
"ID_13",1980,5,0,0,0,17,140,37.254331869013
"ID_6",1999,10,1,1,1,296,377,48.1550173406938
"ID_13",1983,3,0,0,0,68,408,5.09908971805027
"ID_18",2004,6,1,1,0,227,437,24.5728324721729
"ID_2",2000,7,1,1,0,138,425,69.6820221332865
"ID_1",1992,9,1,1,0,131,542,24.3857333918745
"ID_13",1986,9,0,0,0,97,419,23.3038408628764
"ID_11",1985,8,0,0,0,248,502,14.6818369864105
"ID_1",2003,7,1,1,1,219,101,69.4700437151932
"ID_19",2003,1,1,1,1,130,324,134.04424289397
"ID_18",1984,5,1,0,0,183,323,130.28149609414
"ID_6",1994,3,1,1,0,179,349,246.168069222624
"ID_14",1981,1,0,0,0,245,555,5.6101443927564
"ID_5",2002,10,1,1,0,12,101,86.6290403401262
"ID_18",1992,9,1,0,0,275,373,43.3267681794345
"ID_15",2001,4,1,1,0,165,445,149.732332339204
"ID_2",2008,10,1,1,0,387,348,0.360036476412787
"ID_2",1991,2,0,0,0,269,591,0.00541526444890129
"ID_18",2006,12,1,1,0,260,260,48.1267304574083
"ID_6",1999,5,1,1,1,322,149,59.0963519226983
"ID_16",1998,10,1,1,1,135,525,52.0296238521458
"ID_13",2002,3,1,0,0,336,147,44.75759100992
"ID_4",1985,1,1,0,0,376,400,2.92364578063123
"ID_16",2005,7,1,1,1,205,452,44.8847777985402
"ID_20",1984,8,0,0,0,185,9,91.1660635085248
"ID_18",2008,12,1,1,0,162,158,65.0827404094783
"ID_5",1989,9,1,0,0,195,432,34.2655513992813
"ID_3",1983,2,0,0,0,10,192,146.405708514982
"ID_14",1997,7,1,1,0,117,541,30.7241009271218
"ID_1",2007,11,1,1,1,158,373,16.4847942516257
"ID_17",2000,4,1,0,0,102,107,56.9760660067231
"ID_17",1990,2,1,0,0,310,461,0.793444506399924
"ID_11",1993,12,1,0,0,293,113,1.88053331973046
"ID_6",1997,9,1,1,0,213,53,62.955188717593
"ID_3",1989,12,1,0,0,51,213,5.83633864968812
"ID_15",2003,4,1,1,0,173,413,62.7327781968225
"ID_19",2005,7,1,1,1,113,318,135.520521496752
"ID_20",1997,11,1,1,0,159,483,86.9385783892108
"ID_15",1990,1,0,0,0,53,216,9.90624574225302
"ID_7",2009,5,1,1,0,34,23,48.5913691205246
"ID_4",1984,10,1,0,0,216,370,13.3737534599014
"ID_6",2003,2,1,1,1,190,234,79.0516899506423
"ID_19",1996,12,1,1,0,298,419,9.00979331510196
"ID_14",1993,9,1,1,0,182,571,3.1313456635509
"ID_1",2007,10,1,1,1,181,294,44.1496587565302
"ID_1",2007,2,1,1,1,355,274,7.3840912836091
"ID_10",2000,6,1,1,1,33,592,0.106578130400993
"ID_5",1984,9,0,0,0,63,82,93.5963316025099
"ID_10",1993,9,1,0,0,215,529,4.35476405588226
"ID_19",2008,10,1,1,1,294,282,58.3959644046113
"ID_16",1981,9,0,0,0,241,10,14.0619585945781
"ID_12",1980,4,0,0,0,227,493,90.1762309833072
"ID_5",2009,2,1,1,0,27,144,16.8296448855374
"ID_16",1980,9,0,0,0,267,521,74.5646223994979
"ID_19",2008,3,1,1,1,115,395,45.9453934448196
"ID_8",1980,11,0,0,0,257,269,65.8465739879139
"ID_11",1992,3,0,0,0,181,417,23.2001671558956
"ID_2",1984,12,0,0,0,85,167,65.6741223655132
"ID_5",1993,2,1,0,0,104,507,31.7197322424321
"ID_18",1996,1,1,1,0,174,42,106.529606229415
"ID_5",2009,3,1,1,0,374,19,17.1140756097368
"ID_14",2000,8,1,1,0,339,489,0.274866624695131
"ID_9",1999,5,1,1,0,293,467,28.2249882225067
"ID_16",1995,10,1,1,1,18,33,139.282874663734
"ID_10",1986,9,0,0,0,89,577,25.8740547879361
"ID_5",2002,6,1,1,0,258,399,24.3229996024344
"ID_4",2002,5,1,1,0,235,15,10.7243720163155
"ID_2",1998,10,1,0,0,116,385,63.6777926528409
"ID_19",1994,2,1,1,0,88,169,20.7035745860548
"ID_2",1982,5,0,0,0,232,62,28.6177053525021
"ID_16",1985,6,0,0,0,140,444,51.9236884528134
"ID_1",1993,10,1,1,0,141,378,77.807344012579
"ID_17",1984,11,0,0,0,315,59,11.3053479311092
"ID_16",1980,9,0,0,0,228,435,217.389076825665
"ID_2",2005,6,1,1,0,299,466,1.9670741030246
"ID_8",1997,5,1,0,0,47,71,97.4636010180612
"ID_5",1997,10,1,1,0,160,554,15.5717879104713
"ID_1",2006,3,1,1,1,236,571,0.0155053943684405
"ID_11",1994,7,1,0,0,142,331,57.2346537531176
"ID_8",2000,2,1,0,0,184,391,28.3305924352842
"ID_11",1992,11,0,0,0,256,472,5.80419562359555
"ID_1",2009,5,1,1,1,97,174,14.6652253639853
"ID_7",2006,12,1,1,0,18,523,0.0113873424116264
"ID_2",1991,10,0,0,0,299,592,0.00137307549771484
"ID_16",1987,6,1,0,0,102,274,3.51995699486464
"ID_19",1980,11,0,0,0,63,199,155.328567370477
"ID_7",1980,9,0,0,0,376,485,24.973313176268
"ID_18",2005,3,1,1,0,199,150,53.9513417685689
"ID_4",1994,4,1,1,0,223,461,37.5408100625619
"ID_15",1981,3,0,0,0,252,278,144.522866056264
"ID_11",1987,1,0,0,0,108,522,24.6292729086682
"ID_6",1990,3,1,1,0,354,410,1.8363445876709
"ID_8",1984,12,0,0,0,376,132,29.9505366422938
"ID_17",2003,9,1,0,0,132,103,25.0056654439327
"ID_11",2004,5,1,1,1,345,114,157.072750589597
"ID_16",1980,7,0,0,0,371,182,139.107002408236
"ID_11",1985,6,0,0,0,214,27,45.1026978045302
"ID_17",1989,4,1,0,0,281,370,101.798151814576
"ID_12",1986,10,0,0,0,112,140,18.1951517828727
"ID_17",1994,7,1,0,0,272,158,8.64415986729601
"ID_20",1992,8,1,1,0,133,260,24.6905789081481
"ID_20",1981,4,0,0,0,97,187,61.3135902111819
"ID_19",1984,1,0,0,0,304,34,12.2749008968651
"ID_12",1995,5,1,0,0,212,555,1.46945218880901
"ID_7",2006,3,1,1,0,331,109,48.1590561436708
"ID_1",2003,8,1,1,1,380,353,0.351150473171732
"ID_12",2007,12,1,1,0,114,84,40.0167786226932
"ID_5",1996,6,1,0,0,229,325,58.7183203540136
"ID_10",1990,3,1,0,0,373,334,0.472316872106726
"ID_14",1997,5,1,1,0,128,245,3.0908808639996
