"","vess","yr","month","tech_1","tech_2","lat","lon","catch"
"1","ID_15",1988,4,0,0,254,462,9.13141074753877
"2","ID_16",1991,7,0,0,52,126,34.3349756275544
"3","ID_1",2005,1,1,0,169,95,43.2823276342193
"4","ID_6",1991,9,0,0,310,88,39.6661430397561
"5","ID_16",1980,4,0,0,340,122,39.7648113522095
"6","ID_7",2002,7,1,1,97,250,251.598251954632
"7","ID_6",1984,11,0,0,89,480,60.5571362335606
"8","ID_11",2003,11,1,1,268,154,253.540115605995
"9","ID_7",2004,12,1,1,110,166,199.658145066925
"10","ID_4",1982,2,0,0,124,215,17.4750654568691
"11","ID_2",1984,5,1,0,116,230,22.8063823151868
"12","ID_1",1988,11,0,0,177,299,68.5083971075244
"13","ID_4",1982,8,0,0,328,548,0.889949316560972
"14","ID_9",2009,9,1,1,173,163,129.560068806166
"15","ID_14",1984,1,0,0,317,192,1.42556886714506
"16","ID_9",1989,7,0,0,100,127,23.177967916271
"17","ID_2",2006,2,1,1,133,137,280.697926361583
"18","ID_6",2001,5,1,0,374,201,48.4175555977062
"19","ID_2",1982,8,0,0,62,115,60.019335467284
"20","ID_2",1998,4,1,0,72,204,272.565763099686
"21","ID_8",1983,9,1,0,111,476,149.562096327584
"22","ID_15",1988,6,0,0,90,51,13.724215536973
"23","ID_17",1981,11,0,0,159,39,73.6632115636269
"24","ID_7",2005,5,1,1,244,388,3.22387430155811
"25","ID_12",1990,7,0,0,326,229,1.22224058618491
"26","ID_8",2005,8,1,1,329,102,64.9568680108897
"27","ID_14",1980,9,0,0,112,81,78.6763490519616
"28","ID_2",1998,6,1,0,111,143,181.76295838901
"29","ID_17",2003,8,1,0,185,34,14.7923253048277
"30","ID_10",1985,3,0,0,172,587,3.07805178095228
"31","ID_1",1996,4,0,0,181,543,0.219143817591142
"32","ID_7",1994,6,0,0,9,179,60.553621015826
"33","ID_5",1994,10,0,0,275,186,184.637758962219
"34","ID_2",2003,3,1,1,73,167,465.98708646638
"35","ID_4",1993,3,0,0,36,173,66.6247950597423
"36","ID_20",1997,4,1,0,137,468,1.48029797216442
"37","ID_20",1990,7,0,0,182,510,13.784716792066
"38","ID_9",1982,12,0,0,241,380,108.699478387869
"39","ID_6",1988,4,0,0,161,582,7.83983855412179
"40","ID_19",1990,7,0,0,235,385,29.2567842919488
"41","ID_16",1995,6,1,0,221,184,155.396754464918
"42","ID_8",2000,7,1,1,120,78,89.6785699086663
"43","ID_13",1994,2,0,0,75,431,4.07342984559595
"44","ID_1",2001,12,1,0,225,197,108.490852167308
"45","ID_8",1980,11,0,0,319,412,66.4639042414166
"46","ID_20",1992,7,1,0,258,308,52.4650828519028
"47","ID_20",1992,9,1,0,245,341,34.2157867253799
"48","ID_13",1989,12,0,0,12,387,11.9208757814298
"49","ID_9",1990,4,0,0,258,138,11.0118911833395
"50","ID_12",2000,3,1,1,26,309,92.8905010448933
"51","ID_12",1999,2,1,1,50,195,728.754795753289
"52","ID_11",1990,10,1,0,226,382,79.029845022867
"53","ID_10",2006,8,1,1,281,227,105.376440641236
"54","ID_11",1990,6,1,0,82,346,45.2183249515173
"55","ID_16",2001,10,1,1,35,274,128.113446150809
"56","ID_13",2004,2,1,0,340,218,43.1871394231729
"57","ID_19",2003,4,1,1,264,180,124.818693215749
"58","ID_3",1995,3,1,0,342,131,53.1974661986678
"59","ID_2",1980,11,0,0,224,157,174.258561146773
"60","ID_3",2005,7,1,1,89,140,106.647473558174
"61","ID_16",1993,11,0,0,80,191,59.4678896938377
