"","vess","yr","month","tech_1","tech_2","lat","lon","catch"
"1","ID_10",1989,12,0,0,268,204,10.2097881934334
"2","ID_13",2007,5,1,0,34,82,12.2659256169079
"3","ID_19",1996,9,1,0,173,115,126.871773726776
"4","ID_9",1992,1,1,0,249,378,60.5043458469155
"5","ID_2",2005,5,1,0,34,44,13.0420266869043
"6","ID_11",1993,8,1,0,263,456,6.26495111293192
"7","ID_7",2005,9,1,1,392,185,105.635369828214
"8","ID_4",1996,10,0,0,177,285,86.9493378139884
"9","ID_18",1997,2,1,0,73,209,175.376396596214
"10","ID_8",2000,1,1,0,375,526,9.2120334242231
"11","ID_8",1992,4,0,0,12,43,9.44050986908722
"12","ID_20",1983,10,0,0,310,557,61.3405461091417
"13","ID_9",1992,3,1,0,42,362,5.83925514926809
"14","ID_20",2003,8,1,0,367,275,19.6013739529516
"15","ID_16",1996,4,0,0,79,117,55.4851659887084
"16","ID_18",1984,6,0,0,315,555,40.7180713920824
"17","ID_9",1999,1,1,1,135,137,115.094328871854
"18","ID_18",2009,3,1,1,203,354,16.1937590975881
"19","ID_9",2006,12,1,1,136,276,13.0669522538907
"20","ID_4",2005,7,1,0,153,216,117.860168668539
"21","ID_17",1995,4,1,0,27,529,7.63179049226336
"22","ID_11",2002,5,1,0,208,123,279.521754659675
"23","ID_7",1988,7,0,0,21,488,7.91091932975685
"24","ID_16",1997,2,0,0,96,555,1.86236210741477
"25","ID_14",1998,12,1,0,224,265,127.567068552067
"26","ID_13",2001,5,1,0,115,159,97.0252810097244
"27","ID_12",1993,3,0,0,59,185,37.6886420212431
"28","ID_12",1990,10,0,0,261,90,13.3685264065327
"29","ID_15",1988,7,0,0,373,110,82.2246881034448
"30","ID_4",2008,6,1,0,297,176,12.1569892160056
"31","ID_4",1990,12,0,0,187,218,15.1516221016413
"32","ID_10",1983,8,0,0,148,392,211.845886380556
"33","ID_12",2009,8,1,1,319,513,9.60675057235559
"34","ID_17",1983,9,0,0,26,91,13.5329105374738
"35","ID_2",1997,6,0,0,60,143,51.518882440732
"36","ID_2",1989,6,0,0,212,126,64.3082677600929
"37","ID_18",1995,6,1,0,342,366,10.7463421527003
"38","ID_18",2007,8,1,1,371,165,204.56589472467
"39","ID_4",1998,9,0,0,260,149,22.7356914231719
